artist,title,English_clean_lyric
"  일 락 ,  지민  ",남자가…웁니다 (일락 Ver.),
  THE LUCETE  ,아픈 기억 (Feat. 조대근),
  뱅크  ,건배,
"  신혜성 ,  바닐라 어쿠스틱  ",첫사람 (Inst.),
  로이킴  ,Love Yourself,times rain parade clubs get using name think broke heart oh girl goodness sake think crying well wan na write song cause want anyone thinking still care still hit phone baby movin think somethin wan na hold back maybe know mama like likes everyone never like admit wrong caught job see going know better sleeping cause like way look much oh baby go love think still holdin somethin go love told hated friends problem every time told opinion wrong tried make forget came wan na write song cause want anyone thinking still care still hit phone baby movin think somethin wan na hold back maybe know mama like likes everyone never like admit wrong caught job see going know better sleeping cause like way look much oh baby go love think still holdin somethin go love cause like way look much oh baby go love think still holdin somethin go love cause like way look much oh baby go love think still holdin somethin go love
  김민식  ,나의 사람아,
  바람에 오르다  ,널 위한 노래,
  정엽  ,눈부신 하루 (Inst.),
  얀  ,고무신을 신은 줄리엣,
  감성소년  ,언제쯤,
  김동완  ,사랑해선 안될 사람 (Duet With 별),
  황시연  ,goodbye (Inst.),tv
  윈더스프링  ,잡을수 없었던 이별,
  박신양  ,사랑해도 될까요,
  정결  ,너 밖에 모르고,
  페퍼민트 (peppermint)  ,"Fall In Love (Feat. 스피드모션, 목경)",wan na fall love need fall love fall love wan na fall love need fall love fall love fall love fall love fall love wan na fall love need fall love fall love wan na fall love need fall love fall love fall love wan na fall love need fall love fall love fall love fall love fall love
  권순관  ,Tonight,tonight tonight tonight tonight tonight tonight
  너드  ,마음,always sing song
  언어의정원  ,사랑은 시가 되고 이별은 노래가 돼,
  김나영  ,그럴 리가 (Inst.),
  데일리노트  ,난 너만 보여,
  홍성민  ,기억날 그날이 와도,
  오마이걸  ,한여름의 크리스마스,merry christmas
  마리아  ,위대한 여정 (The Greatest Voyage),
  윤상  ,마지막 거짓말,
  4minute  ,모르는 척,la la la la la la la la la la la la la la la la la la la la la la la la la la la la hey hey hey hey hey hey hey hey hey hey hey hey hey hey
  포지션  ,어린  시절  첫사랑  처럼,
  유다은  ,아직은 시린 겨울,
  에스프레소  ,왜 내게 다가오려했니 (Feat. 박살),uh fake
  베이지  ,눈물인형,
  테이  ,얼음 인형,
  이은미  ,기억속으로,
  박원  ,실수,
  이소은  ,거울,
  우유같은걸  ,"그날의 너를 (Vocal 진시원, 황강현)",
  6 to 8  ,밥 한 번,
  하이디  ,어쩌다 마주친 그대,
  최영준  ,사랑도치,
  김정민  ,다시 만나는 그날까지,
  윤종신  ,너에게 간다,
  김연우  ,행복했다...안녕,
  KCM  ,기억,
  임태경  ,애상,
  김보경 (NEON)  ,소란스러운 날,
  나윤권  ,The Light,oh love oh love oh love oh love fall love fall love fall love missing loving
  빅마마  ,좁은 하늘 (Solo 신연아),
  S.N.A  ,Mr. S.N.A,yeah haha alright b double j goin top one yeah oh baby feel heart baby watch motion girl oh baby feel sweat burst emotion yeah iamma take tonight yeah everytime could see mind see got say feel coming tonight oh baby feel heart baby watch motion girl oh baby see emotion yeah everytime could see mind see got say feel coming tonight starring girl way z still see cause ya fly picture perfect size stomach capls satisfaction guarantee oh baby girl oh oh know makin day take take everytime could see mind got ta say see got say know time going slow baby girl give time say oh everytime could see mind see got say feel coming tonight everytime could see mind
  보아 (BoA)  ,Share Your Heart (With Me),share heart
  조안나  ,그리다,
  스윗소로우 (SWEET SORROW)  ,당당한 그녀가 아름답다,
  신혜성  ,여원여모,
  에메랄드 캐슬  ,발걸음,
  이수 (엠씨더맥스)  ,사랑해요,
  엠블랙  ,열쇠,tell looking away girl love wan na show girl
  가비 퀸즈  ,Endless,
  토이  ,A Night In Seoul,
  송지혜  ,외출,come someday come someday come someday come someday
  허각  ,너 아니면,
  미트 (MEat)  ,팅커벨 증후군,
  에피타이저 (Appetizer)  ,많이 힘들었나봐 (feat. 가원),
  다비치  ,녹는 중 (Feat. 버벌진트),gone winter right one babe true
  임하영  ,비몽,
"  SMTOWN ,  Steve Barakatt  ",너의 목소리 (Sound of Your Heart),yeah oh fly away
"  허각 ,  정인  ",동네술집 (Inst.),
  전초아  ,눈물이 나서 (New Ver.),
  정엽  ,Lost (Prod. By MAKTUB),lost mind lost mind lost heart lost mind lost mind lost heart
  이승기  ,그럴까봐,
  이성연  ,너의 빈자리,
  하은  ,열애중 (답가) (Inst.),
  박완규  ,련 (순정),
