artist,title,English_clean_lyric
  ATTIKA  ,Impression,sing lie fool face impression right way tock melody da da doo time pain sunken trust love impression world nothing impression reaction love inspiration impression impression impression impression impression impression impression impression impression impression impression impression impression impression sing sing sing impression impression impression love impression world nothing impression reaction love inspiration impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression impression sing sing sing bet burn start sing track scar work twist sing scar work twist ruin high tick deep right precious chemical sheer sole precious chemical sheer sole suddenly far far
  타루  ,겨울새,
  스윗리벤지 (Sweet Revenge)  ,멜로 (Acoustic Ver.),
  바닐라 어쿠스틱  ,I do again,love love love love love love love fall fall fall fall
  빌리어코스티  ,호흡곤란,
  로맨틱모먼트  ,그대 얼마나 살아있었나,
  심규선 (Lucia)  ,외로워 본,
  바닐라 어쿠스틱  ,홍삼맛 캔디,
  H a lot (에이치얼랏)  ,Prom,
  Team Made  ,좋은데이,love day love
  BEON (비온)  ,Gonna dance,part dance yea dance hesitate dance yea dance yeah dance scream yeah yeah yeah yeah show rock show show rock show dance dance hesitate gon start dance win win gon start dance gon gon make gon start go start go gon awake free afraid awake loud yeah na roll ready na roll ready still already already already already
  할로우 잰  ,Day 7: Poem Of The Ocean,
  추다혜  ,몽금포,
  고고보이스  ,XXX,
"  곽푸른하늘 ,  셀린셀리셀리느  ",그들의 밤,
  린다(LINDA)  ,우물,
  리페어 샵  ,늦었어,
  카피머신  ,Rodeo,rodeo rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo everybody rodeo
  킹스턴 루디스카  ,레게밤밤,reggae bam bam reggae reggae bam bam reggae bam bam reggae bam bam reggae bam bam reggae reggae bam bam reggae bam bam reggae bam bam reggae reggae bam bam reggae reggae bam bam reggae bam bam reggae bam bam feel feel sing feel
  새벽공방  ,밤수성,
  덤덤라디오  ,가끔 미치도록 먹고 싶을 때가 있어,
  임현정  ,능소화 (Unplugged),summer flower summer flower summer flower summer flower
  11시11분  ,가을비 내리는 밤에,
  EE  ,02:22:22,
  수정선  ,Butterfly,butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly
  We Are Here  ,"안녕, 그대",
  크라잉넛 (CRYING NUT)  ,내 인생 마지막 토요일,
  적재  ,The Door,
  타루  ,봄이왔다,
  위아더나잇 (We Are The Night)  ,Summer,
  Mayland  ,우연한 여행의 첫사랑,
  보이  ,밀실 (Feat. 김진아),
  뜨거운 감자  ,Clock Quartet,
  신설희  ,Eat Alone,alright alright alright alright alright alright alone alone alone alone alone alone
  전범선과 양반들  ,설레임,
  김지수  ,Will Be 봄,
  플라스틱  ,스무살,star paradise shin
  신현희와김루트  ,홍대 부르스,
