artist,title,Korean_clean_lyric
  Juan Magan  ,"Claro Que Si (Feat. Hyenas, Mohombie, Yasiris)",채다 채다 채다 차다 채다 채다 차다 차다 채다 채다 채다 차다 채다 채다 차다 차다
  Britny Fox  ,Dream On,
  Mariah Carey  ,Bye Bye,
  Will Jay  ,Settled In My Ways,
  Joanna Wang  ,For No Reason,
  Mariah Carey  ,Crybaby,
  Avril Lavigne  ,Imagine (Album Ver.),
  Josie Dunne  ,Old School (Acoustic),
  Celine Dion  ,When I Need You,
  Billy Ocean  ,Love Is Forever,
  Britney Spears  ,...Baby One More Time (Davidson Ospina 2005 Remix),그대 있다 뭔가 되어다 그대 당신 보내다 말다 이제 당신 사라지다 버리다 알다 원하다 해주다 싶다 왜냐면 외로움 때문 견디다 수가 없다 고백 아직 믿다 있다 아직 믿다 있다 당신 함께 있다 않다 정신 차리다 수가 없다 내다 손짓 해주다 한번 만나다 그대 숨쉬다 이유 당신 때문 그대 멀다 아름답다 그대 이제 없다 이건 계획 해오다 아니다 알다 원하다 해주다 그대 싶다 왜냐면 외로움 때문 견디다 수가 없다 고백 아직 믿다 있다 아직 믿다 있다 당신 함께 있다 않다 정신 차리다 수가 없다 내다 손짓 해주다 번만 만나다 그대 있다 아름답다 그대 당신 보내다 말다 고백 외로움 때문 견디다 수가 없다 아직 믿다 있다 모르다 당신 있다 내다 손짓 해주다 한번 만나다 외로움 때문 견디다 수가 없다 고백 아직 믿다 있다 아직 믿다 있다 당신 함께 있다 않다 정신 차리다 수가 없다 내다 손짓 해주다 한번 만나다
  Kelly Clarkson  ,Chivas (Hidden Track),
  Guy Sebastian  ,Candle,
  Melba Moore  ,Livin` For Your Love,
  Blue  ,If You Come Back,
  Kesha  ,Party At A Rich Dude`s House,
  Lily Allen  ,Pushing Up Daisies,
  Gabrielle Aplin  ,Until The Sun Comes Up,
  Shawn Colvin  ,When You Know,
  Rumer  ,Brave Awakening,
  Madonna  ,Deeper And Deeper,
  Shakira  ,Rabiosa (Feat. Pitbull),
"  88rising ,  Joji ,  GENERATIONS from EXILE TRIBE  ",Need Is Your Love,
  Taylor Swift  ,You Need To Calm Down,
  Mr. Probz  ,Waves (Robin Schulz Remix) (Feat. Chris Brown & T.I.),
  Rihanna  ,What`s My Name? (Feat. Drake),
  Jonas Brothers  ,Mandy,
  Gloria Estefan  ,I`m Not Giving You Up (Single Remix),
  Various Artists  ,Stuck,
