artist,title,Korean_clean_lyric
  The Sonics  ,Cinderella,
  슈가 도넛  ,Listen To The Music,
  Noel Gallagher`s High Flying Birds  ,AKA...Broken Arrow (Album Version),
  라이너스의 담요  ,Kangaroo (Eng Ver.),
  신해철  ,Jazz Cafe,위스키 브랜디 블루 하이힐 콜라 피자 발렌타인 데이 까맣다 머리 까맣다 사람 마다 걸리다 넥타이 어느 우리 우리 오지 않다 들다 우리 의미 입다 먹다 마시다 빨갛다 립스틱 담배 연기 테이블 위엔 보석 색깔 칵테일 촛불 사이 울리다 피아노 깊다 많다 사람 토론 남자 취한 여자 모두 깊이 숨기다 두다 마음 본체 목소리 높이다 얘기 흔들리다 사람 들다 재즈 카페 노래 누굴 걸다 흔들리다 사람 들다 재즈 카페 노래 누굴 걸다 사람 돌아가다 닫다 무렵 구석 숙녀 마지막 메모 노래 눈물 타인 노래 담기다 사연 초록색 구두 위로 떨어지다 흔들리다 사람 들다 재즈 카페 노래 누굴 걸다 흔들리다 사람 들다 재즈 카페 노래 누굴 걸다
  FTISLAND (FT아일랜드)  ,행복합니다,자다 가다 마지막 인사 사랑 보내다 아직 부족하다 사랑 그대 잡지 오랫동안 대다 만나다 그대 동안 내다 주다 사랑 기억 때론 아프다 기억 눈물 나다 그대 순간 생애 가장 크다 선물 랍니 부르다 불다 보이지 않다 사랑 언젠가 다시 안기다 이름 들다 눈물 사랑 어디 내다 오다 행복 해주다 행복하다 그대 사랑 이별 모두 소중하다 추억 있다 바꾸다 없다 빈자리 항상 지키다 그대 사랑 가끔 그립다 사랑 눈물 나다 다시 돌아오다 대다 위해 웃음 짓다 살아가다 나다 버리다 버리다 지우다 없다 사랑 끝없다 그리움 지치다 기억 평생 살다 하나 사랑 눈감다 그날 오다 해도 사랑 부르다 불다 보이지 않다 사랑 언젠가 다시 안기다 이름 들다 눈물 사랑 어디 내다 오다 행복 해주다
  Arcade Fire  ,My Body Is A Cage,
  Deftones  ,My Own Summer (Shove It),
  Scorpions  ,Love Is War,
  문희준  ,아낌없이 주는 나무 (Generous...),그대 하고프다 사랑 사랑 한단 뿐이다 듣다 우리 서로 다른 서다 아프다 그대 해주다 수가 없다 당신 안다 수가 없다 있다 없다 비참하다 가지 초라하다 보다 없다 존재 마르다 나일 항상 항상 그리다 그대 비추다 그때 커지다 가다 비참하다 현실 가다 잿빛 불씨 존재 그대 보이다 보이지 않다 마음 그립다 그립다 그대 비추다 그때 사랑 사랑 그대 내겐 마지막 사랑
  투어리스트  ,꽃비,바람 밀다 자전거 태우다 봄날 가로지르다 감싸다 손가락 꽃비 흩어지다 따르다 달리 즐기다 찾다 카페 우릴 반기다 카라멜 라떼 하루 종일 위해 노랗다 부르다 아침햇살 향기 채우다 힘들다 지치다 낯선 여행 라면 달려가다 여름 그늘 지키다 오늘 마음 선물 해보다 취해 고백 꽃비 내리다 향기 호숫가 앉히다 쏟아지다 햇살 적다 바라다보다 하루 종일 위해 노랗다 부르다 아침햇살 향기 채우다 힘들다 지치다 낯선 여행 라면 달려가다 여름 그늘 지키다 오늘 마음 선물 해보다 취해 고백 꽃비 내리다 멍하니 보다 없이 웃다 그대 같다 기다리다 봄날 연인 마주 보다 함께 설레다 가슴 힘들다 지치다 낯선 여행 라면 달려가다 밤새다 위해 편지 쓸다 사랑 사이 부르다 떨리다 알다 꽃비 내리다
  Ben Folds  ,Landed,
  Animal Collective  ,Winters Love,
